img_id,num_hit
2,2814000
3,2476000
4,2404000
5,2287000
6,1655000
7,1324000
8,980000
9,976000
10,879000
11,855000
12,835000
13,786000
14,761000
15,705000
16,702000
17,676000
18,658000
19,644000
20,618000
21,609000
22,583000
23,569000
24,550000
25,535000
26,506000
27,497000
28,488000
29,480000
30,476000
31,451000
32,443000
33,423000
34,404000
35,393000
36,391000
37,384000
38,373000
39,369000
40,368000
41,340000
42,334000
43,333000
44,318000
45,315000
46,308000
47,307000
48,304000
49,296000
50,289000
51,289000
52,285000
53,281000
54,277000
55,264000
56,259000
57,255000
58,255000
59,249000
60,244000
61,242000
62,229000
63,228000
64,228000
65,226000
66,221000
67,211000
68,209000
69,205000
70,204000
71,200000
72,186000
73,183000
74,181000
75,180000
76,170000
77,166000
78,163000
79,161000
80,154000
81,151000
82,150000
83,138000
84,137000
85,134000
86,133000
87,132000
88,129000
89,129000
90,127000
91,125000
92,121000
93,121000
94,119000
95,116000
96,115000
97,115000
98,114000
99,113000
100,110000
101,110000
102,110000
103,108000
104,107000
105,107000
106,106000
107,105000
108,104000
109,104000
110,104000
111,103000
112,100000
113,99000
114,97000
115,96000
116,96000
117,95000
118,94000
119,93000
120,93000
121,91000
122,90000
123,90000
124,89000
125,89000
126,87000
127,85000
128,84000
129,83000
130,83000
131,83000
132,82000
133,82000
134,81000
135,81000
136,80000
137,79000
138,79000
139,78000
140,77000
141,77000
142,76000
143,76000
144,75000
145,75000
146,75000
147,75000
148,74000
149,74000
150,74000
151,74000
152,73000
153,73000
154,72000
155,71000
156,71000
157,70000
158,70000
159,70000
160,69000
161,69000
162,69000
163,68000
164,68000
165,68000
166,68000
167,67000
168,67000
169,67000
170,66000
171,66000
172,66000
173,66000
174,66000
175,65000
176,65000
177,65000
178,65000
179,63000
180,63000
181,62000
182,62000
183,62000
184,62000
185,61000
186,60000
187,60000
188,60000
189,60000
190,60000
191,60000
192,60000
193,59000
194,59000
195,59000
196,59000
197,59000
198,58000
199,58000
200,57000
201,57000
202,56000
203,56000
204,56000
205,55000
206,55000
207,55000
208,54000
209,54000
210,54000
211,54000
212,54000
213,53000
214,53000
215,53000
216,52000
217,52000
218,52000
219,52000
220,51000
